uf50-0434 nnn logn infinity n 17.963761288 16940 -1 -2 3 -4 5 6 7 -8 9 -10 -11 -12 13 14 15 16 -17 -18 -19 20 21 -22 23 -24 25 -26 27 -28 -29 30 31 32 -33 34 -35 -36 -37 -38 39 40 -41 42 43 44 45 46 -47 -48 49 -50
uf50-0441 n logn infinity n 0.007477957000048718 0 -1 2 3 -4 -5 -6 7 8 9 -10 -11 -12 -13 -14 15 -16 -17 18 19 -20 -21 -22 -23 24 -25 -26 27 28 29 30 31 -32 33 -34 35 -36 37 38 -39 -40 41 -42 -43 44 -45 46 -47 48 49 -50
uf50-0441 nlogn logn infinity n 0.041006558000049154 0 -1 2 -3 -4 -5 -6 7 -8 9 -10 11 -12 -13 14 -15 -16 17 18 19 -20 -21 22 23 24 25 26 27 28 29 -30 31 -32 33 -34 -35 -36 37 38 -39 -40 41 -42 43 44 -45 46 -47 48 49 50
uf50-0441 nn logn infinity n 0.3580054560000008 20875 1 -2 -3 4 -5 -6 7 8 -9 -10 11 -12 13 -14 15 -16 -17 18 19 -20 21 22 23 24 25 26 -27 -28 29 -30 31 -32 -33 -34 35 -36 37 38 39 -40 41 -42 43 44 45 46 -47 -48 -49 -50
uf50-0441 nnn logn infinity n 18.101840143000004 22546 1 -2 -3 4 -5 -6 7 8 9 -10 11 -12 13 14 15 -16 17 18 19 -20 21 22 23 24 25 26 -27 28 29 -30 31 -32 -33 -34 35 -36 37 -38 39 -40 41 -42 43 44 45 46 47 -48 -49 50
uf50-0452 n logn infinity n 0.008774381000023368 0 -1 -2 3 4 5 6 7 -8 9 -10 -11 -12 -13 -14 -15 16 -17 18 -19 -20 -21 22 23 24 25 26 27 28 -29 30 -31 -32 -33 34 -35 -36 -37 -38 -39 40 -41 42 43 -44 -45 46 47 -48 49 -50
uf50-0452 nlogn logn infinity n 0.04788032499999417 0 -1 -2 3 4 -5 6 7 -8 -9 -10 -11 12 -13 -14 -15 16 -17 -18 19 -20 21 -22 23 -24 -25 26 27 28 -29 30 -31 32 -33 34 -35 -36 -37 -38 -39 -40 -41 42 -43 -44 -45 -46 47 -48 49 -50
uf50-0452 nn logn infinity n 0.39742139700001644 23012 -1 2 3 -4 5 6 7 8 9 10 -11 12 -13 14 15 16 -17 -18 19 20 21 -22 23 -24 25 26 27 -28 29 30 -31 32 33 34 35 36 -37 -38 -39 40 41 42 -43 -44 45 -46 -47 48 -49 -50
uf50-0452 nnn logn infinity n 18.03294332500002 25381 -1 2 3 4 -5 6 7 8 9 10 -11 12 -13 14 15 16 17 -18 19 20 21 -22 23 -24 25 26 27 28 29 30 -31 32 33 34 -35 36 -37 -38 -39 -40 41 42 43 -44 45 -46 47 48 -49 50
uf50-0470 n logn infinity n 0.007485041999984787 0 -1 2 3 4 -5 -6 -7 8 9 10 11 -12 13 -14 -15 -16 17 18 -19 -20 -21 22 23 -24 25 -26 -27 28 29 30 31 32 -33 -34 35 36 -37 38 39 40 -41 -42 -43 -44 -45 -46 47 48 -49 50
